order_id,order_date,customer_id,seller_id,order_status
1,22-07-2023,1227,35,Cancelled
2,09-09-2024,7770,13,Delivered
3,31-03-2023,2095,13,Returned
4,01-06-2024,5691,24,Pending
5,29-08-2023,7146,5,Pending
6,08-05-2025,8582,33,Delivered
7,08-12-2023,4492,9,Shipped
8,04-04-2023,997,13,Returned
9,10-10-2025,8724,33,Delivered
10,05-12-2023,7173,33,Returned
11,10-03-2025,6568,39,Shipped
12,28-02-2024,3016,1,Delivered
13,22-03-2024,146,33,Pending
14,28-10-2025,8603,17,Shipped
15,27-03-2024,4856,18,Delivered
16,17-12-2023,3669,3,Delivered
17,20-08-2024,641,10,Shipped
18,30-09-2023,4431,4,Delivered
19,06-03-2024,8759,8,Delivered
20,12-12-2024,6048,21,Delivered
21,24-06-2024,2190,27,Shipped
22,26-10-2024,939,1,Cancelled
23,25-03-2024,4583,12,Shipped
24,02-02-2023,8805,38,Delivered
25,21-02-2025,4217,39,Delivered
26,24-06-2025,3615,21,Shipped
27,22-02-2024,6480,10,Pending
28,19-04-2024,7110,24,Delivered
29,08-09-2025,1536,32,Delivered
30,29-07-2025,3032,12,Delivered
31,01-10-2025,2956,19,Delivered
32,27-09-2024,2670,12,Returned
33,20-01-2024,1138,10,Delivered
34,23-05-2025,4019,30,Returned
35,25-07-2023,8631,9,Delivered
36,24-07-2023,6192,25,Delivered
37,14-08-2023,223,3,Delivered
38,23-05-2024,1370,18,Delivered
39,28-01-2023,154,7,Cancelled
40,24-06-2023,3315,9,Pending
41,28-06-2025,2673,20,Cancelled
42,07-09-2025,2532,16,Delivered
43,01-07-2024,8907,8,Delivered
44,02-04-2023,1685,35,Shipped
45,30-07-2023,8382,27,Delivered
46,03-01-2023,3676,2,Delivered
47,24-05-2025,6315,10,Cancelled
48,10-08-2024,3701,25,Delivered
49,04-10-2025,2779,8,Delivered
50,28-07-2023,4618,23,Delivered
51,14-11-2024,1940,24,Delivered
52,30-03-2023,2476,12,Returned
53,22-12-2025,5487,39,Delivered
54,20-05-2025,2462,20,Shipped
55,14-12-2024,1703,18,Pending
56,25-01-2025,4349,5,Delivered
57,01-11-2023,2402,21,Delivered
58,10-03-2025,7319,31,Delivered
59,20-08-2023,7004,18,Delivered
60,05-07-2023,5293,9,Delivered
61,27-02-2025,5778,21,Pending
62,18-05-2025,7886,27,Cancelled
63,11-10-2023,4029,25,Returned
64,15-10-2025,8827,35,Pending
65,26-12-2025,8786,15,Returned
66,21-06-2023,6912,34,Delivered
67,28-06-2023,3854,24,Delivered
68,21-02-2024,282,24,Pending
69,01-10-2023,1805,4,Cancelled
70,09-01-2025,2284,19,Pending
71,23-10-2023,9036,27,Delivered
72,07-03-2024,3680,4,Delivered
73,29-08-2023,2345,25,Delivered
74,19-05-2025,6090,4,Delivered
75,01-06-2023,7813,39,Delivered
76,03-03-2023,2407,24,Delivered
77,11-06-2023,4015,5,Delivered
78,02-05-2025,2453,12,Pending
79,14-10-2023,8642,20,Pending
80,22-04-2025,5527,29,Delivered
81,10-08-2024,1823,10,Delivered
82,07-03-2023,2844,33,Delivered
83,23-01-2023,6495,28,Pending
84,12-06-2024,8223,20,Delivered
85,17-05-2025,2570,18,Delivered
86,04-12-2025,6186,9,Delivered
87,31-03-2025,918,15,Returned
88,12-01-2024,1265,30,Pending
89,03-10-2024,6638,25,Delivered
90,22-04-2023,6087,28,Delivered
91,06-07-2024,1777,7,Delivered
92,12-01-2025,5497,2,Delivered
93,31-07-2024,2667,35,Delivered
94,14-05-2023,3472,39,Delivered
95,25-09-2024,3076,36,Delivered
96,08-03-2023,3938,18,Delivered
97,02-04-2023,7927,3,Delivered
98,06-10-2024,1528,20,Delivered
99,31-12-2024,4627,26,Delivered
100,06-10-2024,6401,23,Delivered
101,19-07-2023,5429,27,Delivered
102,25-10-2025,2461,2,Returned
103,03-09-2025,613,19,Delivered
104,07-11-2023,7588,6,Delivered
105,19-04-2024,3534,10,Delivered
106,24-10-2025,8460,39,Cancelled
