order_item_id,order_id,product_id,quantity,price_per_unit
1,1,B08YDFX7Y1,5,296.69
2,2,B0B4F3QNDM,2,13327.08
3,2,B09NJN8L25,3,57.39
4,3,B07GWTWFS2,5,1677.96
5,4,B0B61GCHC1,3,191.11
6,4,B0B8CHJLWJ,5,290.59
7,4,B09C6H53KH,5,361.72
8,5,B0BDS8MY8J,4,191.13
9,5,B08KS2KQTK,5,289.41
10,6,B08HF4W2CT,2,1571.75
11,6,B08RHPDNVV,4,232.67
12,6,B09JN37WBX,5,309.63
13,7,B08HD7JQHX,5,197.96
14,8,B07GVGTSLN,3,310.28
15,9,B0994GFWBH,4,133.19
16,9,B07YWS9SP9,2,580.82
17,9,B09RF2QXGX,2,67.04
18,10,B0B1YY6JJL,3,23384.45
19,10,B08XXF5V6G,3,28972.92
20,11,B08JW1GVS7,3,2123.33
21,12,B09TMZ1MF8,4,1675.98
22,12,B09Y5MP7C4,4,1250.95
23,12,B078HRR1XV,5,3222.29
24,13,B09DSXK8JX,5,10120.34
25,13,B08HV83HL3,3,1976.05
26,14,B09NJN8L25,2,56.96
27,15,B0789LZTCJ,5,292.7
28,15,B07T9FV9YP,4,727.23
29,16,B07Z1X6VFC,1,444.92
30,16,B07YZG8PPY,2,1240.65
31,16,B0B2C5MJN6,4,32578.77
32,17,B06XPYRWV5,3,1095.96
33,17,B07WGMMQGP,5,16253.29
34,17,B00B7GKXMG,2,679.46
35,18,B07H1S7XW8,5,84.87
36,18,B0B3XXSB1K,4,45855.04
37,19,B09VC2D2WG,2,449.01
38,19,B008IFXQFU,4,481.35
39,19,B08ZN4B121,1,524.49
40,20,B08CFCK6CW,4,1182.4
41,20,B01N1XVVLC,2,9521.9
42,21,B09G5TSGXV,1,245
43,21,B07NRTCDS5,2,1166.56
44,22,B07F6GXNPB,2,248.08
45,23,B07JPX9CR7,2,553.43
46,24,B07GQD4K6L,2,368.48
47,25,B09TT6BFDX,4,385.37
48,25,B099FDW2ZF,4,1203.4
49,25,B0BNXFDTZ2,2,2850.81
50,26,B086199CWG,5,3293.89
51,26,B0BNV7JM5Y,1,2912.98
52,27,B08TGG316Z,2,998.42
53,28,B09BW334ML,5,347.1
54,29,B00935MD1C,3,2600.25
55,29,B07QCWY5XV,5,592.21
56,30,B09T2WRLJJ,2,20991.49
57,31,B08KDBLMQP,5,1250.08
58,31,B01LY9W8AF,5,956.46
59,32,B07Z1Z77ZZ,2,428.48
60,32,B09NTHQRW3,3,1937.15
61,32,B01F7B2JCI,3,180.69
62,33,B08YDFX7Y1,5,286.04
63,33,B00EYW1U68,4,1597.83
64,33,B014HDJ7ZE,1,5171.84
65,34,B09T39K9YL,5,19144.61
66,35,B07DC4RZPY,3,706.54
67,35,B00B3VFJY2,1,933.45
68,36,B09127FZCK,3,297.49
69,37,B07YZG8PPY,5,1208.09
70,37,B08CFJBZRK,1,3202.77
71,38,B08CHKQ8D4,5,709.43
72,38,B09JS562TP,1,1373.74
73,38,B08VGM3YMF,1,191.89
74,39,B014SZO90Y,2,253.52
75,40,B08GYG6T12,5,435.66
76,41,B09XJ1LM7R,2,395.68
77,41,B097R25DP7,1,1560.82
78,42,B083M7WPZD,3,3073.8
79,42,B0BPBG712X,3,777.35
80,43,B07DL1KC3H,1,293.39
81,43,B0B4F2TTTS,4,10505.75
82,43,B0B1YZX72F,3,27321.87
83,44,B014SZO90Y,4,254.16
84,44,B00LUGTJGO,1,1367.45
85,45,B09MB3DKG1,4,2093.14
86,46,B0BLV1GNLN,5,6336.55
87,46,B08J82K4GX,2,9920.17
88,46,B00LP9RFSU,1,803.7
89,47,B07DC4RZPY,4,686.52
90,47,B06XR9PR5X,5,202.98
91,48,B09MJ77786,4,31309.02
92,48,B0BP7XLX48,4,395.54
93,49,B07WKBD37W,5,419.39
94,49,B08BJN4MP3,2,13440.42
95,50,B08WKFSN84,1,361.29
96,51,B003L62T7W,5,278.58
97,51,B09Q5SWVBJ,2,15364.94
98,51,B09M869Z5V,5,548.78
99,52,B01N6IJG0F,3,540.77
100,53,B0B8ZKWGKD,3,864.85
101,53,B07H5PBN54,2,996.6
102,54,B00TI8E7BI,2,2582.23
103,54,B0763K5HLQ,2,1065.36
104,54,B09NBZ36F7,4,1994.4
105,55,B0BCKJJN8R,3,3431.02
106,55,B0BMXMLSMM,3,194.42
107,56,B01NBX5RSB,2,750.17
108,56,B09CTWFV5W,2,6840.6
109,57,B0B8CXTTG3,3,16819.4
110,58,B00GGGOYEU,4,297.52
111,59,B08F47T4X5,4,87.91
112,60,B08CNLYKW5,1,1635.72
113,60,B07NPBG1B4,1,1946.95
114,60,B0BMGG6NKT,2,10060.46
115,61,B084BR3QX8,2,142.34
116,61,B07CD2BN46,5,407.64
117,61,B09XXZXQC1,2,26279.63
118,62,B07YC8JHMB,4,8164.6
119,63,B0B6F7LX4C,2,13746.25
120,64,B0BBN56J5H,1,6326.5
121,64,B09VKWGZD7,5,4578.49
122,64,B08CFJBZRK,3,3134.06
123,65,B00V9NHDI4,4,2750.36
124,66,B096MSW6CT,1,196.81
125,67,B07QMRHWJD,2,296.62
126,68,B00V4BGDKU,3,1089.51
127,69,B07WDKLRM4,3,13505.68
128,70,B09JS562TP,4,1353.45
129,70,B07JGDB5M1,4,445.6
130,71,B0B15GSPQW,4,47592.21
131,71,B00K57MR22,5,6100.01
132,72,B07GLS2563,5,1161.6
133,72,B082KVTRW8,4,1165.1
134,72,B09127FZCK,4,290.07
