shipping_id,order_id,shipping_date,return_date,shipping_provider,shipping_status
1,1,,,,Cancelled
2,2,10-09-2024,,Ekart,Delivered
3,3,03-04-2023,15-04-2023,Delhivery,Returned
4,4,05-06-2024,,Amazon Logistics,Pending
5,5,30-08-2023,,Xpressbees,Pending
6,6,11-05-2025,,Bluedart,Delivered
7,7,11-12-2023,,DTDC,In Transit
8,8,09-04-2023,12-04-2023,Amazon Logistics,Returned
9,9,12-10-2025,,DTDC,Delivered
10,10,08-12-2023,13-12-2023,Bluedart,Returned
11,11,13-03-2025,,Xpressbees,In Transit
12,12,29-02-2024,,Ekart,Delivered
13,13,23-03-2024,,India Post,Pending
14,14,29-10-2025,,DTDC,In Transit
15,15,29-03-2024,,Xpressbees,Delivered
16,16,18-12-2023,,Bluedart,Delivered
17,17,24-08-2024,,Ekart,In Transit
18,18,03-10-2023,,Bluedart,Delivered
19,19,09-03-2024,,Amazon Logistics,Delivered
20,20,14-12-2024,,Amazon Logistics,Delivered
21,21,27-06-2024,,India Post,In Transit
22,22,,,,Cancelled
23,23,30-03-2024,,Bluedart,In Transit
24,24,05-02-2023,,India Post,Delivered
25,25,22-02-2025,,Ekart,Delivered
26,26,26-06-2025,,Bluedart,In Transit
27,27,24-02-2024,,Delhivery,Pending
28,28,24-04-2024,,Amazon Logistics,Delivered
29,29,10-09-2025,,Ekart,Delivered
30,30,03-08-2025,,Bluedart,Delivered
31,31,03-10-2025,,Amazon Logistics,Delivered
32,32,28-09-2024,11-10-2024,Delhivery,Returned
33,33,22-01-2024,,DTDC,Delivered
34,34,27-05-2025,08-06-2025,Ekart,Returned
35,35,30-07-2023,,Delhivery,Delivered
36,36,27-07-2023,,Ekart,Delivered
37,37,16-08-2023,,Amazon Logistics,Delivered
38,38,24-05-2024,,Ekart,Delivered
39,39,,,,Cancelled
40,40,25-06-2023,,India Post,Pending
41,41,,,,Cancelled
42,42,11-09-2025,,Bluedart,Delivered
43,43,02-07-2024,,DTDC,Delivered
44,44,04-04-2023,,Amazon Logistics,In Transit
45,45,01-08-2023,,Delhivery,Delivered
46,46,04-01-2023,,Ekart,Delivered
47,47,,,,Cancelled
48,48,14-08-2024,,Delhivery,Delivered
49,49,07-10-2025,,India Post,Delivered
50,50,30-07-2023,,Ekart,Delivered
51,51,16-11-2024,,Xpressbees,Delivered
52,52,04-04-2023,09-04-2023,Amazon Logistics,Returned
53,53,24-12-2025,,India Post,Delivered
54,54,23-05-2025,,Amazon Logistics,In Transit
55,55,15-12-2024,,Amazon Logistics,Pending
56,56,27-01-2025,,Delhivery,Delivered
57,57,04-11-2023,,DTDC,Delivered
58,58,14-03-2025,,DTDC,Delivered
59,59,25-08-2023,,Delhivery,Delivered
60,60,06-07-2023,,DTDC,Delivered
61,61,01-03-2025,,Xpressbees,Pending
62,62,,,,Cancelled
63,63,12-10-2023,23-10-2023,Delhivery,Returned
64,64,20-10-2025,,DTDC,Pending
65,65,31-12-2025,07-01-2026,Delhivery,Returned
66,66,24-06-2023,,India Post,Delivered
67,67,03-07-2023,,Delhivery,Delivered
68,68,26-02-2024,,Ekart,Pending
69,69,,,,Cancelled
70,70,12-01-2025,,Delhivery,Pending
71,71,27-10-2023,,Xpressbees,Delivered
72,72,09-03-2024,,India Post,Delivered
73,73,30-08-2023,,Delhivery,Delivered
74,74,23-05-2025,,Delhivery,Delivered
75,75,04-06-2023,,Bluedart,Delivered
76,76,04-03-2023,,Ekart,Delivered
77,77,14-06-2023,,Ekart,Delivered
78,78,04-05-2025,,DTDC,Pending
79,79,17-10-2023,,DTDC,Pending
80,80,23-04-2025,,Delhivery,Delivered
81,81,14-08-2024,,Delhivery,Delivered
82,82,08-03-2023,,Xpressbees,Delivered
83,83,26-01-2023,,Delhivery,Pending
84,84,15-06-2024,,Delhivery,Delivered
85,85,21-05-2025,,India Post,Delivered
86,86,07-12-2025,,Ekart,Delivered
87,87,03-04-2025,14-04-2025,Amazon Logistics,Returned
88,88,15-01-2024,,India Post,Pending
89,89,06-10-2024,,Bluedart,Delivered
90,90,25-04-2023,,Bluedart,Delivered
91,91,11-07-2024,,Xpressbees,Delivered
92,92,17-01-2025,,DTDC,Delivered
93,93,04-08-2024,,Delhivery,Delivered
94,94,18-05-2023,,Delhivery,Delivered
95,95,26-09-2024,,DTDC,Delivered
96,96,13-03-2023,,Bluedart,Delivered
97,97,03-04-2023,,Delhivery,Delivered
98,98,08-10-2024,,Amazon Logistics,Delivered
99,99,04-01-2025,,DTDC,Delivered
100,100,09-10-2024,,Bluedart,Delivered
101,101,20-07-2023,,Bluedart,Delivered
102,102,30-10-2025,03-11-2025,Bluedart,Returned
103,103,07-09-2025,,India Post,Delivered
104,104,12-11-2023,,DTDC,Delivered
105,105,23-04-2024,,Delhivery,Delivered
106,106,,,,Cancelled
107,107,10-07-2025,,Bluedart,In Transit
108,108,12-01-2025,18-01-2025,Ekart,Returned
109,109,08-05-2024,,Ekart,Delivered
110,110,11-11-2023,,India Post,Delivered
111,111,24-10-2023,,India Post,Delivered
112,112,,,,Cancelled
113,113,17-12-2023,,Delhivery,Delivered
114,114,29-07-2024,,Bluedart,Delivered
115,115,29-05-2023,,Amazon Logistics,In Transit
116,116,29-08-2025,,Delhivery,Delivered
117,117,,,,Cancelled
118,118,12-08-2024,,Xpressbees,Delivered
119,119,,,,Cancelled
120,120,06-02-2025,,Delhivery,Pending
121,121,23-06-2024,,Bluedart,Delivered
122,122,19-05-2024,,Ekart,Delivered
123,123,20-08-2024,25-08-2024,Bluedart,Returned
124,124,03-06-2023,,Bluedart,Pending
125,125,12-07-2023,,Ekart,Pending
126,126,03-01-2026,,Amazon Logistics,Delivered
127,127,10-01-2024,20-01-2024,Delhivery,Returned
128,128,15-02-2024,,Xpressbees,Delivered
129,129,15-10-2024,,Amazon Logistics,Pending
130,130,12-03-2024,,Xpressbees,In Transit
131,131,23-07-2025,,Bluedart,Delivered
132,132,,,,Cancelled
133,133,,,,Cancelled
134,134,04-06-2025,,DTDC,Delivered
135,135,14-03-2024,,India Post,In Transit
136,136,05-06-2024,,Ekart,Delivered
137,137,26-05-2023,,Bluedart,Delivered
138,138,04-09-2024,,Delhivery,Delivered
139,139,17-06-2024,,Amazon Logistics,Delivered
140,140,28-05-2025,,DTDC,Delivered
141,141,14-02-2024,,DTDC,Pending
142,142,02-09-2025,15-09-2025,Ekart,Returned
143,143,30-12-2024,,Delhivery,Delivered
144,144,,,,Cancelled
145,145,01-02-2023,,Ekart,Delivered
146,146,21-10-2025,26-10-2025,Amazon Logistics,Returned
147,147,27-06-2024,,DTDC,Pending
148,148,18-09-2023,,Xpressbees,Delivered
149,149,19-03-2023,23-03-2023,India Post,Returned
150,150,,,,Cancelled
151,151,10-03-2024,,DTDC,Delivered
152,152,31-01-2025,,Xpressbees,In Transit
153,153,25-09-2024,,DTDC,Pending
154,154,,,,Cancelled
155,155,,,,Cancelled
156,156,22-08-2023,02-09-2023,Amazon Logistics,Returned
157,157,04-02-2025,,Xpressbees,Delivered
158,158,16-06-2025,28-06-2025,Delhivery,Returned
159,159,05-08-2024,,DTDC,Delivered
160,160,04-07-2023,14-07-2023,Xpressbees,Returned
161,161,06-08-2023,,Bluedart,Delivered
162,162,01-07-2025,,Bluedart,Delivered
163,163,17-08-2024,,Ekart,Delivered
164,164,23-07-2025,,Bluedart,Delivered
165,165,,,,Cancelled
166,166,13-08-2025,,India Post,Delivered
167,167,09-02-2025,,Delhivery,In Transit
168,168,04-07-2024,19-07-2024,Delhivery,Returned
169,169,11-05-2024,,Bluedart,Delivered
170,170,,,,Cancelled
171,171,03-12-2025,,India Post,Delivered
172,172,03-06-2025,17-06-2025,Amazon Logistics,Returned
173,173,04-02-2024,14-02-2024,Bluedart,Returned
174,174,22-09-2023,29-09-2023,Amazon Logistics,Returned
175,175,18-10-2024,31-10-2024,Bluedart,Returned
176,176,20-04-2024,,Delhivery,Delivered
177,177,15-03-2025,,Delhivery,Delivered
178,178,24-10-2024,,Xpressbees,Delivered
179,179,23-02-2023,,Xpressbees,Delivered
180,180,27-02-2023,11-03-2023,India Post,Returned
181,181,,,,Cancelled
182,182,22-01-2024,,Bluedart,In Transit
183,183,02-02-2024,11-02-2024,Bluedart,Returned
184,184,19-06-2024,,Bluedart,Delivered
185,185,25-10-2023,,India Post,Delivered
186,186,18-08-2023,,Amazon Logistics,Delivered
187,187,13-08-2023,,India Post,In Transit
188,188,09-01-2024,,Xpressbees,Pending
189,189,12-01-2025,,Delhivery,Delivered
190,190,05-10-2025,,Ekart,Delivered
191,191,28-09-2025,04-10-2025,Xpressbees,Returned
192,192,12-02-2025,,India Post,Delivered
193,193,05-01-2024,,Ekart,Delivered
194,194,,,,Cancelled
195,195,20-09-2025,,Amazon Logistics,Delivered
196,196,06-12-2025,,Delhivery,Delivered
197,197,06-03-2023,,DTDC,Delivered
198,198,23-03-2024,,DTDC,Delivered
199,199,06-03-2023,,DTDC,Delivered
200,200,21-06-2023,,Amazon Logistics,In Transit
201,201,,,,Cancelled
202,202,28-08-2024,01-09-2024,DTDC,Returned
